ad_id,ad_type,title,price,breed,location,age,ready_to_leave,litter_size,available,seller_name,seller_type,kc_registered,microchipped,vaccinated,boys,girls,created,reposted,url
286925587981,For Sale,STUNNING LITTER OF COCKAPOO PUPPIES,"£1,750",Cockerpoo,Buckinghamshire,7 weeks,,9,9,Stacey,Private Advert,No,True,False,True,True,2025-11-30,,https://www.foreverpuppy.co.uk/for-sale/cockerpoo/buckinghamshire/286925587981_stunning-litter-of-cockapoo-puppies
321123410116,For Sale,Chunky Show Cocker Spaniels,"£1,200",Cocker Spaniel,Newport,6 weeks,,7,3,Jess,Private Advert,No,True,True,True,True,2025-11-16,,https://www.foreverpuppy.co.uk/for-sale/cocker-spaniel/newport/321123410116_chunky-show-cocker-spaniels
128971874440,For Sale,Cavapoochon puppy’s,"£1,600",Cavapoochon,,5 weeks,,8,8,Patricia,Private Advert,No,True,True,True,True,2025-12-02,,https://www.foreverpuppy.co.uk/for-sale/cavapoochon/england/128971874440_cavapoochon-puppy-s
763711540019,For Sale,Beautiful doberman puppies,"£1,800",Doberman,,2½ weeks,,5,5,John,Private Advert,No,True,True,True,True,2026-01-20,,https://www.foreverpuppy.co.uk/for-sale/doberman/area/763711540019_beautiful-doberman-puppies
991380927849,For Sale,Aye have two litters 6 Boyd 8 girls,"£4,000",English Bull Dog,,"5 weeks, 5 days",,8,8,Matthew,Private Advert,Yes,True,True,True,True,2026-01-18,,https://www.foreverpuppy.co.uk/for-sale/english-bull-dog/area/991380927849_aye-have-two-litters-6-boyd-8-girls
629528297975,For Sale,Miniature Wire-Haired Dachshund,£850,Dachshund Miniature Wire Haired,Bedfordshire,3 months,,3,3,,Private Advert,No,False,False,False,False,2026-01-18,,https://www.foreverpuppy.co.uk/for-sale/dachshund-miniature-wire-haired/bedfordshire/629528297975_miniature-wire-haired-dachshund
478078898702,For Sale,4 beautiful brindle like colour frenchies.,"£1,800",French Bulldog,United Kingdom,9½ weeks,,4,4,Luke,Private Advert,No,True,True,False,True,2025-12-20,,https://www.foreverpuppy.co.uk/for-sale/french-bulldog/united-kingdom/478078898702_4-beautiful-brindle-like-colour-frenchies
484939975081,For Sale,3 Beautiful Boy Siberian Husky puppies for sale,"£1,100",Siberian Husky,Nottinghamshire,5 weeks,,3,3,Rebecca,Private Advert,No,False,False,False,False,,,https://www.foreverpuppy.co.uk/for-sale/siberian-husky/nottinghamshire/484939975081_3-beautiful-boy-siberian-husky-puppies-for-sale
209076034321,For Sale,Toy Cavapoo F1B - Miss Pink ready 18th January,"£1,995",Cavapoo,Lincolnshire,9 weeks,,7,7,Danny,Private Advert,No,True,True,False,True,2026-01-18,,https://www.foreverpuppy.co.uk/for-sale/cavapoo/lincolnshire/209076034321_toy-cavapoo-f1b-miss-pink-ready-18th-january
024507305602,For Sale,Stunning dachund puppies from our beloved pets,"£1,500",Dachshund Standard Smooth Haired,West Yorkshire,"9 weeks, 2 days",,8,5,Tracey,Private Advert,No,True,True,True,True,2025-12-24,,https://www.foreverpuppy.co.uk/for-sale/dachshund-standard-smooth-haired/west-yorkshire/024507305602_stunning-dachund-puppies-from-our-beloved-pets
046830720543,For Sale,Chocolate brown Sprocker puppies. Very shiny coats. Feeding and sleeping well.,£875,Sprocker,,2 weeks,,7,7,Emma,Private Advert,No,True,True,True,True,2026-01-12,,https://www.foreverpuppy.co.uk/for-sale/sprocker/area/046830720543_chocolate-brown-sprocker-puppies-very-shiny-coats-feeding-and-sleeping-well
614830623911,For Sale,Dna health test staffie puppies,"£1,800",Staffordshire Bull Terrier,Lincolnshire,6½ weeks,,7,3,Teresa,Private Advert,Yes,True,True,True,True,2026-01-16,,https://www.foreverpuppy.co.uk/for-sale/staffordshire-bull-terrier/lincolnshire/614830623911_dna-health-test-staffie-puppies
353685345336,For Sale,BEAUTIFUL JACK RUSSELL PUPPIES FOR SALE.,£850,Jack Russell Terrier,Bedfordshire,7 weeks,,6,6,,Private Advert,No,True,True,False,True,2025-12-02,,https://www.foreverpuppy.co.uk/for-sale/jack-russell-terrier/bedfordshire/353685345336_beautiful-jack-russell-puppies-for-sale
469915063628,For Sale,Beautiful Home-Raised Dachshund Puppies – KC Registered Lines,"£1,500",Dachshund Standard Smooth Haired,Surrey,7 weeks,,5,5,Christina,Private Advert,No,True,True,True,True,2026-01-18,,https://www.foreverpuppy.co.uk/for-sale/dachshund-standard-smooth-haired/surrey/469915063628_beautiful-home-raised-dachshund-puppies-kc-registered-lines
842772021091,For Sale,Rare beautiful Blue eyed Pomsky,£800,Pomsky,,7 months,,1,1,Natalie,Private Advert,No,True,True,True,False,2025-11-03,,https://www.foreverpuppy.co.uk/for-sale/pomsky/area/842772021091_rare-beautiful-blue-eyed-pomsky
118238011296,For Sale,KC registered 5 generations golden retriever puppies,"£2,000",Golden Retriever,,9½ weeks,,8,8,,Private Advert,Yes,True,True,True,False,2026-01-07,,https://www.foreverpuppy.co.uk/for-sale/golden-retriever/area/118238011296_kc-registered-5-generations-golden-retriever-puppies
182522606907,For Sale,Jack Russel puppies,£250,Jack Russell Terrier,Worcestershire,4½ weeks,,2,2,Thomas,Private Advert,No,True,True,False,True,2026-01-15,,https://www.foreverpuppy.co.uk/for-sale/jack-russell-terrier/worcestershire/182522606907_jack-russel-puppies
877746767907,For Sale,beautiful cocker spaniel puppies,£600,Cocker Spaniel,,6½ weeks,,9,9,Darren,Private Advert,No,False,False,False,False,2026-01-18,,https://www.foreverpuppy.co.uk/for-sale/cocker-spaniel/area/877746767907_beautiful-cocker-spaniel-puppies
820015729258,For Sale,8  golden and white Labrador puppies,"£1,000",Labrador Retriever,,5½ weeks,,8,8,Andrew,Private Advert,No,True,True,True,True,2025-12-15,,https://www.foreverpuppy.co.uk/for-sale/labrador-retriever/area/820015729258_8-golden-and-white-labrador-puppies
821717666609,For Sale,F2 toy Cavapoo puppies,"£2,000",Cavapoo,,3½ weeks,,6,6,Chloe,Private Advert,No,True,True,True,True,2026-01-12,,https://www.foreverpuppy.co.uk/for-sale/cavapoo/area/821717666609_f2-toy-cavapoo-puppies
759343881514,For Sale,Gorgeous white german shepherd pups,"£1,200",German Shepherd,Torfaen,"6 weeks, 2 days",,7,7,Burak,Private Advert,No,False,False,False,False,2026-01-17,,https://www.foreverpuppy.co.uk/for-sale/german-shepherd/torfaen/759343881514_gorgeous-white-german-shepherd-pups
474582611499,For Sale,Dachshund puppies,£800,Mixed Breed,West Yorkshire,9½ weeks,,3,3,Cheyenne,Private Advert,No,False,False,False,False,,,https://www.foreverpuppy.co.uk/for-sale/mixed-breed/west-yorkshire/474582611499_dachshund-puppies
780144248318,For Sale,KC Registered Springer spaniel puppies,"£1,250",English Springer Spaniel,Merseyside,2½ weeks,,10,10,David,Private Advert,Yes,True,True,True,True,2025-11-26,,https://www.foreverpuppy.co.uk/for-sale/english-springer-spaniel/merseyside/780144248318_kc-registered-springer-spaniel-puppies
714217158303,For Sale,F1B cockapoos,"£1,450",Cockerpoo,Essex,5 weeks,,7,7,Michelle,Private Advert,No,False,False,False,False,2026-01-19,,https://www.foreverpuppy.co.uk/for-sale/cockerpoo/essex/714217158303_f1b-cockapoos
