id,title,breed,price,location,males_available,females_available,kc_registered,microchipped,vaccinated,seller_type,id_verified,member_since,ready_to_leave,posted_ago,views,url,scraped_at,error
34915,2 Female / 4 Male Labradoodle  puppies for sale in Middlewich,Labradoodle,1200,Middlewich Cheshire,4.0,2.0,True,True,True,Licensed Breeder,True,,"for their forever new homes from 8 weeks of age, w",5 days ago,,https://www.petify.uk/for-sale/labradoodle-dogs/middlewich-cheshire/34915,2026-01-20T11:14:34.161317,
34913,2 Female mixed breed Cockapoo & Toy Poodle puppies for sale in Letchworth,Mixed Breed,1300,Letchworth Hertfordshire,7.0,2.0,,True,True,Domestic Breeder,True,,\nThe puppy will be ready to join a new home on Fe,2 days ago,,https://www.petify.uk/for-sale/mixed-breed-dogs/letchworth-hertfordshire/34913,2026-01-20T11:14:38.702073,
34785,4 Female / 2 Male Dachshund  puppies for sale in Bromley Common,Dachshund,1150,Bromley Common Greater London,2.0,4.0,True,True,True,Licensed Breeder,True,,"\""}]}],[\""$\"",\""div\"",null,{\""className\"":\""detail",2 hours ago,,https://www.petify.uk/for-sale/dachshund-dogs/bromley-common-greater-london/34785,2026-01-20T11:14:41.424853,
34921,1 Female / 3 Male Cocker Spaniel  puppies for sale in Hexham,Cocker Spaniel,650,Hexham Northumberland,3.0,1.0,True,True,True,Domestic Breeder,True,,august 3rd,20 hours ago,,https://www.petify.uk/for-sale/cocker-spaniel-dogs/hexham-northumberland/34921,2026-01-20T11:14:45.375331,
34900,3 Female / 3 Male French Bulldog  puppies for sale in Gloucester,French Bulldog,950,Gloucester,3.0,3.0,True,True,True,Domestic Breeder,True,,"\""}]}],[\""$\"",\""div\"",null,{\""className\"":\""detail",3 days ago,,https://www.petify.uk/for-sale/french-bulldog-dogs/gloucester/34900,2026-01-20T11:14:48.268920,
34914,4 Female / 3 Male English Bull Terrier  puppies for sale in Gloucester,English Bull Terrier,250,Gloucester,3.0,4.0,True,True,True,Domestic Breeder,,,"\""}]}],[\""$\"",\""div\"",null,{\""className\"":\""detail",,,https://www.petify.uk/for-sale/english-bull-terrier-dogs/gloucester/34914,2026-01-20T11:14:51.098490,
34923,1 Female / 1 Male mixed breed Jack Russell & French Bulldog puppies for sale in Blandford St Mary,Mixed Breed,550,Blandford St Mary Dorset,1.0,1.0,,True,True,Domestic Breeder,True,,NOW STILL LOOKING FOR THERE FOREVER HOMES. CAN BE,18 hours ago,,https://www.petify.uk/for-sale/mixed-breed-dogs/blandford-st-mary-dorset/34923,2026-01-20T11:14:54.834796,
34920,4 Female / 3 Male mixed breed Labrador Retriever & Cane Corso puppies for sale in Doncaster,Mixed Breed,900,Doncaster South Yorkshire,3.0,4.0,,True,True,Domestic Breeder,True,,NOW STILL LOOKING FOR THERE FOREVER HOMES. CAN BE,2 months ago,,https://www.petify.uk/for-sale/mixed-breed-dogs/doncaster-south-yorkshire/34920,2026-01-20T11:14:57.923991,
34926,3 Male Bichon Frise  puppies for sale in Kingston upon Hull,Bichon Frise,1600,Kingston Upon Hull,3.0,3.0,True,True,True,Domestic Breeder,True,,"around mid-july, 8 weeks old +)",7 months ago,,https://www.petify.uk/for-sale/bichon-frise-dogs/kingston-upon-hull/34926,2026-01-20T11:15:02.551604,
34746,1 Female / 1 Male Miniature Poodle  puppies for sale in Keighley,Miniature Poodle,1750,Keighley West Yorkshire,1.0,1.0,True,True,True,Domestic Breeder,,,"after eight weeks, after April 16th. They will be",6 hours ago,,https://www.petify.uk/for-sale/miniature-poodle-dogs/keighley-west-yorkshire/34746,2026-01-20T11:15:05.157108,
34882,2 Female Labradoodle  puppies for sale in St Austell,Labradoodle,2000,St Austell Cornwall,4.0,2.0,True,True,True,Licensed Breeder,True,,"for their forever new homes from 8 weeks of age, w",5 days ago,,https://www.petify.uk/for-sale/labradoodle-dogs/st-austell-cornwall/34882,2026-01-20T11:15:08.041084,
