id,title,breed,price,location,date_of_birth,age,ready_to_leave,males_available,females_available,posted_ago,posted_date,seller_type,seller_name,member_since,kc_registered,microchipped,vaccinated,wormed,health_checked,id_verified,views,url,scraped_at,error
34915,2 Female / 4 Male Labradoodle puppies for sale in Middlewich,Labradoodle,1200,Middlewich Cheshire,,2 weeks old,,4,2,5 days ago,2026-01-19,Licensed Breeder,Since F,December 2023,False,True,True,True,True,True,,https://www.petify.uk/for-sale/labradoodle-dogs/middlewich-cheshire/34915,2026-01-24T08:23:11.274798,
34913,2 Female mixed breed Cockapoo & Toy Poodle puppies for sale in Letchworth,Mixed Breed,1300,Letchworth Hertfordshire,,5 weeks old,,7,2,6 days ago,2026-01-18,Domestic Breeder,Since J,November 2025,False,True,True,True,False,True,,https://www.petify.uk/for-sale/mixed-breed-dogs/letchworth-hertfordshire/34913,2026-01-24T08:23:15.116960,
34785,4 Female / 2 Male Dachshund puppies for sale in Bromley Common,Dachshund,1100,Bromley Common Greater London,,9 weeks old,Now,2,4,,,Licensed Breeder,Since J,September 2024,True,True,True,True,True,True,,https://www.petify.uk/for-sale/dachshund-dogs/bromley-common-greater-london/34785,2026-01-24T08:23:18.303151,
34921,1 Female / 3 Male Cocker Spaniel puppies for sale in Hexham,Cocker Spaniel,650,Hexham Northumberland,,7 weeks old,,3,1,5 days ago,2026-01-19,Domestic Breeder,Since J,January 2026,True,True,True,True,False,True,,https://www.petify.uk/for-sale/cocker-spaniel-dogs/hexham-northumberland/34921,2026-01-24T08:23:21.668084,
34900,3 Female / 3 Male French Bulldog puppies for sale in Gloucester,French Bulldog,950,Gloucester,,10 weeks old,,3,3,7 days ago,2026-01-17,Domestic Breeder,Since J,November 2025,True,True,True,True,True,True,,https://www.petify.uk/for-sale/french-bulldog-dogs/gloucester/34900,2026-01-24T08:23:25.209351,
34914,4 Female / 3 Male English Bull Terrier puppies for sale in Gloucester,English Bull Terrier,2250,Gloucester,,1 week old,,3,4,5 days ago,2026-01-19,Domestic Breeder,Since J,,True,True,True,True,False,False,,https://www.petify.uk/for-sale/english-bull-terrier-dogs/gloucester/34914,2026-01-24T08:23:28.784300,
34923,1 Female / 1 Male mixed breed Jack Russell & French Bulldog puppies for sale in Blandford St Mary,Mixed Breed,550,Blandford St Mary Dorset,,6 weeks old,,1,1,5 days ago,2026-01-19,Domestic Breeder,Since J,November 2025,False,True,True,True,False,True,,https://www.petify.uk/for-sale/mixed-breed-dogs/blandford-st-mary-dorset/34923,2026-01-24T08:23:32.461468,
34920,4 Female / 3 Male mixed breed Labrador Retriever & Cane Corso puppies for sale in Doncaster,Mixed Breed,900,Doncaster South Yorkshire,,8 weeks old,,3,4,5 days ago,2026-01-19,Domestic Breeder,Since J,November 2025,False,True,True,True,False,True,,https://www.petify.uk/for-sale/mixed-breed-dogs/doncaster-south-yorkshire/34920,2026-01-24T08:23:35.770531,
34926,3 Male Bichon Frise puppies for sale in Kingston upon Hull,Bichon Frise,1600,Kingston Upon Hull,,5 weeks old,,3,200,4 days ago,2026-01-20,Domestic Breeder,Since F,December 2025,True,True,True,True,False,True,,https://www.petify.uk/for-sale/bichon-frise-dogs/kingston-upon-hull/34926,2026-01-24T08:23:39.073962,
34746,1 Female / 1 Male Miniature Poodle puppies for sale in Keighley,Miniature Poodle,1750,Keighley West Yorkshire,,10 weeks old,,1,1,,,Domestic Breeder,Since M,November 2025,True,True,True,True,False,False,,https://www.petify.uk/for-sale/miniature-poodle-dogs/keighley-west-yorkshire/34746,2026-01-24T08:23:42.392553,
