id,title,breed,price,location,date_of_birth,age,ready_to_leave,males_available,females_available,posted_ago,posted_date,seller_type,seller_initials,member_since,kc_registered,microchipped,vaccinated,wormed,health_checked,id_verified,views,url,scraped_at,error
33065,2 Female / 4 Male mixed breed Great Dane & Cane Corso puppies for sale in Grendon,Mixed Breed,650,Grendon Warwickshire,,9,NOW,4,2,6 days ago,,Domestic Breeder,CB,July 2025,False,True,True,True,True,True,,https://www.petify.uk/for-sale/mixed-breed-dogs/grendon-warwickshire/33065,2026-01-25T20:23:03.379567,
32014,5 Female / 4 Male Dachshund puppies for sale in Leeds,Dachshund,700,Leeds,,9,now,4,5,13 days ago,,Domestic Breeder,SB,June 2025,False,True,True,True,True,True,,https://www.petify.uk/for-sale/dachshund-dogs/leeds/32014,2026-01-25T20:23:06.974195,
34123,Female Labrador Retriever puppy for sale in Wrexham / Wrecsam,Labrador Retriever,,Wrexham Wrecsam Clwyd,,4,,5,1,,,Domestic Breeder,GE,October 2025,True,True,False,True,True,True,,https://www.petify.uk/for-sale/labrador-retriever-dogs/wrexham-wrecsam-clwyd/34123,2026-01-25T20:23:10.164660,
33764,2 Female / 5 Male French Bulldog puppies for sale in Bradford,French Bulldog,850,Bradford,,6,,5,2,,,Domestic Breeder,KS,September 2025,True,True,True,True,False,True,,https://www.petify.uk/for-sale/french-bulldog-dogs/bradford/33764,2026-01-25T20:23:13.405303,
33972,4 Male mixed breed Cocker Spaniel & Toy Poodle puppies for sale in Crook,Mixed Breed,650,Crook Durham,,4,NOW,4,800,6 days ago,,Domestic Breeder,JC,October 2025,False,True,True,True,True,True,,https://www.petify.uk/for-sale/mixed-breed-dogs/crook-durham/33972,2026-01-25T20:23:16.692849,
34110,2 Female / 3 Male German Shepherd puppies for sale in Princes Risborough,German Shepherd,,Princes Risborough Buckinghamshire,,9,,3,2,,,Domestic Breeder,HB,October 2025,True,True,False,True,True,True,,https://www.petify.uk/for-sale/german-shepherd-dogs/princes-risborough-buckinghamshire/34110,2026-01-25T20:23:19.995965,
31722,3 Male Yorkshire Terrier puppies for sale in Henleaze,Yorkshire Terrier,1000,Henleaze Bristol,,4,now,3,1,8 days ago,,Domestic Breeder,DS,May 2024,True,True,False,True,True,True,,https://www.petify.uk/for-sale/yorkshire-terrier-dogs/henleaze-bristol/31722,2026-01-25T20:23:22.891860,
33752,2 Male Staffordshire Bull Terrier puppies for sale in Swansea / Abertawe,Staffordshire Bull Terrier,500,Swansea Abertawe,,8,,2,3,,,Domestic Breeder,TS,September 2025,True,True,False,True,True,True,,https://www.petify.uk/for-sale/staffordshire-bull-terrier-dogs/swansea-abertawe/33752,2026-01-25T20:23:25.965871,
34882,2 Female Labradoodle puppies for sale in St Austell,Labradoodle,2000,St Austell Cornwall,,6,,4,2,10 days ago,,Domestic Breeder,,December 2023,False,True,False,True,True,True,,https://www.petify.uk/for-sale/labradoodle-dogs/st-austell-cornwall/34882,2026-01-25T20:23:28.832094,
31029,2 Female / 2 Male French Bulldog puppies for sale in Aldershot,French Bulldog,1500,Aldershot Hampshire,,10,17th may,2,2,,,Domestic Breeder,KI,March 2025,True,True,False,True,False,True,,https://www.petify.uk/for-sale/french-bulldog-dogs/aldershot-hampshire/31029,2026-01-25T20:23:32.260458,
33265,4 Female / 1 Male Cocker Spaniel puppies for sale in Havant,Cocker Spaniel,2000,Havant Hampshire,,9,,1,4,6 days ago,,Domestic Breeder,,August 2025,True,True,False,True,True,True,,https://www.petify.uk/for-sale/cocker-spaniel-dogs/havant-hampshire/33265,2026-01-25T20:23:35.296370,
