title,price,location,url,breed,sex,age,ready_to_leave,kc_registered,microchipped,neutered,vaccinations,health_checks,seller_type,views,created,seller_name,membership_level,member_since
3 KC Registered Miniature Smooth Dachshunds - 3 Boys,"£1,000","Crymych, Pembrokeshire",https://www.preloved.co.uk/adverts/show/123008765/3-kc-registered-miniature-smooth-dachshunds-3-boys,Miniature Dachshund,Mixed Litter,6 weeks,at 8 weeks,Yes - Breed Register,Yes,No,1st Puppy Ones,Vet Checked,Private Seller,582.0,15 days ago,DINOPUPS,Premium,November 2024
Sprocker spaniel puppies,£950,"Hythe, Kent",https://www.preloved.co.uk/adverts/show/123014352/sprocker-spaniel-puppies,Sprocker spaniel,Mixed Litter,2 weeks,at 8 weeks,No,Yes,No,Yes,Yes,Private Seller,50.0,2 days ago,Shannon,,May 2022
Kc registered labrador pups,£950,"Pickering, North Yorkshire",https://www.preloved.co.uk/adverts/show/123014871/kc-registered-labrador-pups,Labrador,Mixed Litter,2 weeks,at 8 weeks,Yes - Breed Register,Yes,No,Yes first,Health checked at vets,Private Seller,8.0,21 hours ago,Fordy,,August 2023
Female puppy 8 weeks old,£350,"Newbiggin, Northumberland",https://www.preloved.co.uk/adverts/show/123015026/female-puppy-8-weeks-old,Bulldog,Female,8 weeks,Now,No,Yes,No,No,Yes,Private Seller,0.0,5 hours ago,Sammi,,January 2017
Cockerdor Puppies for Sale,£400,"Worcester, Worcestershire",https://www.preloved.co.uk/adverts/show/123012237/cockerdor-puppies-for-sale,Cockerdor,Mixed Litter,9 weeks,Now,No,Yes,No,,,Private Seller,413.0,7 days ago,Molli_Thomasson,,June 2023
GS/Alsatian male puppy black,,"Huddersfield, West Yorkshire",https://www.preloved.co.uk/adverts/show/123014537/gsalsatian-male-puppy-black,German Shepherd,,,,,,,,,,10.0,1 days ago,Pyxie,,October 2025
German shepherd black puppies,£950,"Warrington, Cheshire",https://www.preloved.co.uk/adverts/show/123013005/german-shepherd-black-puppies,German shepherd,Mixed Litter,4 weeks,at 9 weeks,,Yes,,Yes,Yes,Private Seller,133.0,5 days ago,sjh1610,,February 2010
Kc registered Shih-Tzu Puppies,"£1,500","Bangor, Gwynedd",https://www.preloved.co.uk/adverts/show/123006066/kc-registered-shih-tzu-puppies,Shih-Tzu,Female,7 weeks,"for their forever homes end of January at 8-9 weeks old following final vet check, but are available",Yes - Breed Register,No,No,Not yet,2 week old bet health check,Private Seller,127.0,22 days ago,G Pritchard,Premium,May 2009
bullweiler boy puppy brindle,£500,"King's Lynn, Norfolk",https://www.preloved.co.uk/adverts/show/123012320/bullweiler-boy-puppy-brindle,Bullweiler,Male,8 months,Now,No,Yes,No,2,1,Private Seller,176.0,6 days ago,Ashley,,October 2024
English Springer spaniel puppies,£750,"Waterlooville, Hampshire",https://www.preloved.co.uk/adverts/show/123012620/english-springer-spaniel-puppies,English springer spaniel,Mixed Litter,8 weeks,Now,No,Yes,No,,,Private Seller,100.0,6 days ago,Harry,,February 2020
